;Tau;Asp;Thr;Ser;Glu;Gly;Ala;Val;Met;Norvaline;Ile;Leu;Tyr;Phe;b-Ala;His;Orn;Lys;Trp;Ammonia;Arg
S1 _01;0,101;0,1;0,101;0,1;0,101;0,1;0,1;0,09;0,094;0;0,099;0,1;0,099;0,101;0,101;0,099;0,092;0,098;0,099;0,101;0,1
S2 _01;0,1;0,1;0,101;0,1;0,101;0,1;0,1;0,092;0,094;0;0,099;0,1;0,099;0,101;0,101;0,099;0,089;0,098;0,099;0,101;0,1
S3 _01;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,092;0,094;0;0,099;0,1;0,099;0,101;0,101;0,1;0,092;0,098;0,1;0,102;0,101
S4 _01;0,1;0,099;0,1;0,1;0,1;0,1;0,1;0,093;0,095;0;0,099;0,1;0,099;0,101;0,101;0,1;0,091;0,098;0,1;0,101;0,101
S5 _01;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,093;0,095;0;0,099;0,1;0,099;0,101;0,101;0,1;0,089;0,099;0,1;0,101;0,101
S6 _01;0,1;0,1;0,101;0,1;0,1;0,1;0,1;0,093;0,095;0;0,099;0,1;0,099;0,1;0,1;0,099;0,093;0,099;0,099;0,101;0,101
S7 _01;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,092;0,095;0;0,099;0,1;0,099;0,101;0,1;0,099;0,091;0,098;0,099;0,1;0,101
S8 _01;0,101;0,1;0,101;0,101;0,101;0,1;0,101;0,094;0,095;0;0,099;0,1;0,099;0,1;0,1;0,1;0,093;0,099;0,1;0,101;0,101
S9 _01;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,093;0,095;0;0,099;0,099;0,099;0,1;0,1;0,099;0,09;0,098;0,099;0,101;0,101
S10 _01;0,101;0,1;0,1;0,101;0,101;0,1;0,101;0,093;0,095;0;0,099;0,1;0,099;0,099;0,1;0,1;0,1;0,103;0,101;0,1;0,101
